Mes;Tempo_medio_dias;crescimento_pct;Media_movies_3m
2019-01;0,2;nan;nan
2019-02;0,04;-80,0;nan
2019-03;0,89;2125,0;0,38
2019-04;0,52;-41,57303370786517;0,48
2019-05;0,51;-1,9230769230769273;0,64
2019-06;0,56;9,80392156862746;0,53
2019-07;0,38;-32,14285714285715;0,48
2019-08;0,75;97,36842105263158;0,56
2019-09;0,37;-50,66666666666666;0,5
2019-10;0,51;37,83783783783785;0,54
2019-11;0,4;-21,568627450980394;0,43
2019-12;0,78;95,0;0,56
2020-01;0,57;-26,923076923076927;0,58
2020-02;0,56;-1,754385964912264;0,64
2020-03;0,62;10,714285714285698;0,58
2020-04;0,31;-50,0;0,5
2020-05;0,43;38,709677419354826;0,45
2020-06;0,55;27,906976744186053;0,43
2020-07;0,54;-1,8181818181818188;0,51
2020-08;0,81;50,0;0,63
2020-09;0,78;-3,703703703703709;0,71
2020-10;0,54;-30,76923076923077;0,71
2020-11;0,63;16,66666666666665;0,65
2020-12;0,46;-26,984126984126977;0,54
2021-01;0,4;-13,043478260869568;0,5
2021-02;0,41;2,499999999999991;0,42
2021-03;0,64;56,09756097560976;0,48
2021-04;0,61;-4,6875;0,55
2021-05;0,62;1,6393442622950838;0,62
2021-06;0,43;-30,645161290322587;0,55
2021-07;0,62;44,18604651162792;0,56
2021-08;0,53;-14,516129032258062;0,53
2021-09;0,59;11,32075471698113;0,58
2021-10;0,58;-1,6949152542372947;0,57
2021-11;0,55;-5,172413793103436;0,57
2021-12;0,58;5,454545454545445;0,57
2022-01;0,56;-3,44827586206895;0,56
2022-02;0,55;-1,7857142857142905;0,56
2022-03;0,63;14,545454545454529;0,58
2022-04;0,56;-11,111111111111105;0,58
2022-05;0,53;-5,35714285714286;0,57
2022-06;0,55;3,7735849056603765;0,55
2022-07;0,66;19,999999999999996;0,58
2022-08;0,61;-7,57575757575758;0,61
2022-09;0,48;-21,311475409836067;0,58
2022-10;0,63;31,25;0,57
2022-11;0,53;-15,873015873015872;0,55
2022-12;0,61;15,094339622641506;0,59
2023-01;0,53;-13,114754098360649;0,56
2023-02;0,48;-9,433962264150953;0,54
2023-03;0,47;-2,083333333333337;0,49
2023-04;0,55;17,021276595744705;0,5
2023-05;0,51;-7,272727272727275;0,51
2023-06;0,47;-7,843137254901967;0,51
2023-07;0,51;8,510638297872353;0,5
2023-08;0,56;9,80392156862746;0,51
2023-09;0,55;-1,7857142857142905;0,54
2023-10;0,64;16,36363636363636;0,58
2023-11;0,58;-9,37500000000001;0,59
2023-12;0,56;-3,44827586206895;0,59
2024-01;0,45;-19,64285714285715;0,53
2024-02;0,5;11,111111111111116;0,5
2024-03;0,53;6,000000000000005;0,49
2024-04;0,51;-3,7735849056603765;0,51
2024-05;0,57;11,76470588235292;0,54
2024-06;0,53;-7,017543859649111;0,54
2024-07;0,49;-7,547169811320764;0,53
2024-08;0,56;14,285714285714302;0,53
2024-09;0,48;-14,285714285714302;0,51
2024-10;0,63;31,25;0,56
2024-11;0,55;-12,698412698412687;0,55
2024-12;0,48;-12,727272727272743;0,55
2025-01;0,54;12,500000000000021;0,52
2025-02;0,62;14,814814814814813;0,55
2025-03;0,58;-6,451612903225811;0,58
2025-04;0,54;-6,896551724137923;0,58
2025-05;0,51;-5,555555555555558;0,54
